platform,owner,repo,id,created,updated,default_branch,size,license,main_language,language_distribution,#commits,#branches,#contributors,#stars,#forks,#pull_requests
Bitbucket,cainjohn,scottlog,{464e9fdf-7309-411e-a04c-57bd9e9ff0e2},2025-04-06T14:58:19.180642+00:00,2025-04-06T15:01:06.045817+00:00,main,211200,,HTML,"{""HTML"": {""size"": 145034, ""percentage"": ""100.00""}}",2.0,1,1,2.0,0.0,0.0
Bitbucket,dev-cornerstone,goglobal-revamp-cn,{f69ed3de-69ac-4ed2-b05d-a08411d91b85},2025-03-18T04:10:19.151522+00:00,2025-03-20T02:06:53.902642+00:00,main,10798070,GPL-2.0,PHP,"{""PHP"": {""size"": 260983, ""percentage"": ""60.82""}, ""CSS"": {""size"": 156628, ""percentage"": ""36.50""}, ""JavaScript"": {""size"": 11470, ""percentage"": ""2.67""}}",4.0,2,3,2.0,0.0,1.0
Bitbucket,finchtalk,test,{22b4219f-0317-4709-ab99-d9625907b4ce},2025-03-26T06:35:04.538474+00:00,2025-03-26T07:16:13.966700+00:00,main,31417,,,,3.0,1,3,2.0,0.0,0.0
Bitbucket,crazy8monkey,bill-splitter,{8e96c9d2-1944-4a18-a37a-7ab3ea317f74},2025-03-20T01:19:23.463627+00:00,2025-04-10T03:03:44.548322+00:00,main,343314,,Kotlin,"{""Kotlin"": {""size"": 50196, ""percentage"": ""100.00""}}",2.0,1,1,1.0,0.0,0.0
Bitbucket,silvvrrback1976,python-utility-toolkit,{35626da7-fb83-41d4-99f3-4a6a9c75ad14},2025-03-30T23:30:10.280100+00:00,2025-03-31T05:49:31.297483+00:00,main,31416,,,,3.0,3,2,2.0,0.0,1.0
Bitbucket,echn-self-projects,moving-cars,{3f8e6373-6a2e-449d-8b3e-ae022488a2b4},2025-03-17T09:55:14.542006+00:00,2025-03-29T06:00:33.782683+00:00,main,231224,,Python,"{""Python"": {""size"": 20317, ""percentage"": ""62.91""}, ""HTML"": {""size"": 11977, ""percentage"": ""37.09""}}",3.0,2,1,2.0,0.0,0.0
Bitbucket,n3t,n3t-text2speech,{5affb302-2515-42f5-b3b4-6be779de3f0a},2025-04-01T00:30:43.648744+00:00,2025-04-01T00:33:19.533071+00:00,main,177113,,PHP,"{""PHP"": {""size"": 54227, ""percentage"": ""81.54""}, ""CSS"": {""size"": 4432, ""percentage"": ""6.66""}, ""JavaScript"": {""size"": 7845, ""percentage"": ""11.80""}}",1.0,1,1,1.0,0.0,0.0
Bitbucket,buildninjatest,asp_net_core_app,{235cf22d-d7f6-44da-83a4-535c87c1cdb7},2025-04-02T08:33:11.161636+00:00,2025-04-02T08:37:38.717687+00:00,main,9114258,,HTML,"{""HTML"": {""size"": 4724, ""percentage"": ""53.82""}, ""C#"": {""size"": 2609, ""percentage"": ""29.72""}, ""CSS"": {""size"": 1218, ""percentage"": ""13.88""}, ""JavaScript"": {""size"": 227, ""percentage"": ""2.59""}}",1.0,2,1,2.0,0.0,0.0
Bitbucket,yolanda657,ondaaan,{dfdd0948-8a8b-436c-a706-2a88ec7217bd},2025-03-25T18:55:58.834132+00:00,2025-03-25T18:56:58.616322+00:00,main,32061,,Shell,"{""Shell"": {""size"": 268, ""percentage"": ""100.00""}}",2.0,1,1,2.0,0.0,0.0
Bitbucket,rhtap-test,tl1z5mw2a-java-springboot,{f267f89b-78de-4b9d-ab21-8a31dc66ddf9},2025-03-19T15:17:33.149413+00:00,2025-03-19T15:18:26.704799+00:00,main,124833,,Dockerfile,"{""Dockerfile"": {""size"": 1236, ""percentage"": ""62.30""}, ""Java"": {""size"": 748, ""percentage"": ""37.70""}}",2.0,1,2,2.0,0.0,0.0
Bitbucket,chatlogger,script,{15b98ae5-a78d-4fad-a5f7-215f5bdd88bc},2025-03-29T17:19:20.215504+00:00,2025-03-29T17:23:42.196403+00:00,main,103121,,Lua,"{""Lua"": {""size"": 52752, ""percentage"": ""100.00""}}",1.0,1,1,2.0,0.0,0.0
Bitbucket,ranadepto,portfolioautosngmindorbital,{47e5f794-0be7-47dc-9302-c0c2772c88a1},2025-03-30T00:22:07.366635+00:00,2025-03-30T00:28:35.910802+00:00,master,1141379,,CSS,"{""TypeScript"": {""size"": 56264, ""percentage"": ""14.47""}, ""CSS"": {""size"": 319153, ""percentage"": ""82.05""}, ""HTML"": {""size"": 13540, ""percentage"": ""3.48""}}",2.0,1,2,1.0,0.0,0.0
Bitbucket,socifi-game-v2,socifi-game-v2,{0e624983-caa0-4de1-9ea5-603ff3258d4a},2025-03-31T09:56:02.776570+00:00,2025-03-31T10:00:36.930282+00:00,main,22002321,,JavaScript,"{""HTML"": {""size"": 3591, ""percentage"": ""1.95""}, ""JavaScript"": {""size"": 176820, ""percentage"": ""95.96""}, ""SCSS"": {""size"": 3848, ""percentage"": ""2.09""}}",1.0,1,1,2.0,0.0,0.0
Bitbucket,terabase,pile_configurator,{a117cd9e-7097-4c50-86b5-10a6bec6cbee},2025-03-18T10:46:01.920910+00:00,2025-04-14T11:41:28.328295+00:00,master,1889760,,TypeScript,"{""JavaScript"": {""size"": 53150, ""percentage"": ""19.18""}, ""HTML"": {""size"": 380, ""percentage"": ""0.14""}, ""CSS"": {""size"": 923, ""percentage"": ""0.33""}, ""TypeScript"": {""size"": 222697, ""percentage"": ""80.35""}}",10.0,2,3,2.0,0.0,0.0
Bitbucket,web_aplication,agrowebapp,{cb905d59-4c92-446c-95f4-b296fa080b09},2025-04-01T16:21:48.499875+00:00,2025-04-08T22:29:22.881379+00:00,main,27527,,,,1.0,5,6,2.0,0.0,14.0
Bitbucket,pooii-28,operadores,{5610e0ac-fdac-4b9a-adb3-71cd7a80a305},2025-03-25T23:08:46.205252+00:00,2025-03-27T17:08:11.055029+00:00,main,33036,,Python,"{""Python"": {""size"": 2447, ""percentage"": ""100.00""}}",12.0,3,2,2.0,0.0,0.0
Bitbucket,rhtap-test,auz73rqvh-nodejs,{3dacd32a-1ee7-4310-8a73-7b6d6ea5f1ce},2025-03-21T00:17:33.669766+00:00,2025-03-21T00:18:16.773903+00:00,main,181045,EPL-2.0,JavaScript,"{""Dockerfile"": {""size"": 635, ""percentage"": ""20.79""}, ""JavaScript"": {""size"": 2419, ""percentage"": ""79.21""}}",2.0,1,2,2.0,0.0,0.0
Bitbucket,hit226s378262,team9hit226s378262.bitbucket.io,{73ccbcb5-8d9b-4104-b127-d9fd8ba753b1},2025-03-24T08:35:47.700426+00:00,2025-03-24T09:04:39.186107+00:00,main,28979,,HTML,"{""HTML"": {""size"": 69, ""percentage"": ""100.00""}}",2.0,1,2,1.0,0.0,0.0
Bitbucket,cisiad,org.openmarkov.annotation_processing,{a50a34dc-a8e3-41c1-9c8a-e7ac27d256f2},2025-04-01T07:16:47.962431+00:00,2025-04-11T15:27:06.339049+00:00,master,28658,,,,1.0,2,1,2.0,0.0,0.0
Bitbucket,rhtap-test,puneexbq2-dotnet-basic,{db283034-ab41-4fa3-866d-7ff474afb61a},2025-03-21T00:17:39.186746+00:00,2025-03-21T00:18:11.871615+00:00,main,9827111,Apache-2.0,HTML,"{""C#"": {""size"": 1497, ""percentage"": ""21.30""}, ""HTML"": {""size"": 3835, ""percentage"": ""54.56""}, ""CSS"": {""size"": 1053, ""percentage"": ""14.98""}, ""Dockerfile"": {""size"": 418, ""percentage"": ""5.95""}, ""JavaScript"": {""size"": 226, ""percentage"": ""3.22""}}",2.0,1,2,2.0,0.0,0.0
Bitbucket,tocabocamodapk,tocabocamodapk.bitbucket.io,{b076cbaf-82b8-4596-95c9-93a060992fa4},2025-03-25T17:43:18.193689+00:00,2025-03-25T17:44:38.872457+00:00,main,43746,,HTML,"{""HTML"": {""size"": 9093, ""percentage"": ""100.00""}}",2.0,1,1,2.0,0.0,0.0
Bitbucket,josejamilena,freetownsos,{0f59b231-e95e-4826-9ad2-8508898a6741},2025-03-28T08:51:23.186509+00:00,2025-03-28T08:51:23.740951+00:00,master,22109900,NOASSERTION,C,"{""Assembly"": {""size"": 48212, ""percentage"": ""6.16""}, ""C"": {""size"": 472392, ""percentage"": ""60.33""}, ""C++"": {""size"": 231548, ""percentage"": ""29.57""}, ""Python"": {""size"": 25257, ""percentage"": ""3.23""}, ""Batchfile"": {""size"": 2170, ""percentage"": ""0.28""}, ""CMake"": {""size"": 3412, ""percentage"": ""0.44""}}",752.0,1,3,1.0,0.0,0.0
Bitbucket,rep89,rep89.bitbucket.io,{b911ba71-a2d2-47b0-895f-64aaab58bf78},2025-03-16T01:33:48.990067+00:00,2025-03-16T01:38:02.820098+00:00,main,48166,,HTML,"{""HTML"": {""size"": 12500, ""percentage"": ""100.00""}}",2.0,1,1,2.0,0.0,0.0
Bitbucket,mila-workspace,milas-repo,{e7f790f0-f6d8-44b3-80e7-13fa298fc9e1},2025-04-02T22:58:45.910071+00:00,2025-04-06T13:32:18.078677+00:00,main,27524,,,,1.0,3,2,2.0,0.0,0.0
Bitbucket,qiucongzhu,mandrill2025,{60e7e355-760c-4c81-9ccd-916b3a9dedbe},2025-04-05T04:36:31.714955+00:00,2025-04-05T04:36:32.821777+00:00,main,31407,,,,1.0,1,1,2.0,0.0,0.0
Bitbucket,rhtap-test,ppn6s6cvf-java-quarkus-gitops,{d21871fe-5291-4335-badc-29215c33cf49},2025-03-18T13:34:14.833182+00:00,2025-03-18T13:34:20.912391+00:00,main,54977,,,,1.0,1,1,2.0,0.0,0.0
Bitbucket,daryrincon,2comprension-e-interpretacion-de-textos-juridicos-metodos-y,{c029a398-97ac-4c61-8f33-af1d156047fd},2025-03-23T12:01:56.934299+00:00,2025-03-23T12:01:57.025190+00:00,main,24164,,,,,0,0,2.0,0.0,0.0
Bitbucket,merchantspring,coding-challenge-v2,{94169f26-ec36-4114-b9ef-3461061ebd50},2025-04-04T05:26:26.442553+00:00,2025-04-08T00:21:24.093354+00:00,master,731494,ISC,TypeScript,"{""JavaScript"": {""size"": 6571, ""percentage"": ""9.99""}, ""Shell"": {""size"": 331, ""percentage"": ""0.50""}, ""TypeScript"": {""size"": 58867, ""percentage"": ""89.51""}}",4.0,1,1,2.0,0.0,0.0
