platform,owner,repo,id,created,updated,default_branch,#stars,#forks
Forgejo,pennbauman,rust-wasmtime-cache29.rpm,387448,2025-03-20T05:20:15Z,2025-05-08T12:11:31Z,main,0,0
Forgejo,pennbauman,rust-wasmtime-asm-macros29.rpm,387439,2025-03-20T04:57:26Z,2025-05-08T12:11:27Z,main,0,0
Forgejo,pennbauman,rust-wasmprinter0.221.rpm,387417,2025-03-20T03:55:34Z,2025-05-08T12:11:25Z,main,0,0
Forgejo,pennbauman,rust-wasmparser0.221.rpm,387407,2025-03-20T03:27:55Z,2025-05-08T12:11:18Z,main,0,0
Forgejo,forgejo,forgejo,73144,2022-11-06T06:24:57Z,2025-05-08T12:11:05Z,forgejo,2260,375
Forgejo,FreeBSD,freebsd-doc,13080,2020-12-27T11:03:48Z,2025-05-08T12:10:11Z,main,21,2
Forgejo,vertilo,vertilo.space_11ty,475940,2025-04-30T14:34:39Z,2025-05-08T12:10:06Z,main,0,0
Forgejo,pennbauman,rust-wasm-encoder0.221.rpm,387433,2025-03-20T04:42:03Z,2025-05-08T12:10:00Z,main,0,0
Forgejo,pennbauman,rust-wasm-encoder.rpm,386854,2025-03-19T09:58:19Z,2025-05-08T12:09:57Z,main,0,0
Forgejo,pennbauman,rust-vtparse.rpm,388518,2025-03-21T10:21:18Z,2025-05-08T12:09:48Z,main,0,0
Forgejo,pennbauman,rust-vte0.11.rpm,387394,2025-03-20T02:49:09Z,2025-05-08T12:09:47Z,main,0,0
Forgejo,pennbauman,rust-varbincode.rpm,387534,2025-03-20T08:22:40Z,2025-05-08T12:09:45Z,main,0,0
Forgejo,ampmod,pages,371146,2025-03-03T20:13:31Z,2025-05-08T12:09:42Z,pages,0,1
Forgejo,nephros,cogs,83310,2022-12-24T10:52:39Z,2025-05-08T12:09:40Z,master,0,0
Forgejo,pennbauman,rust-unsafe-any-ors.rpm,386958,2025-03-19T12:43:56Z,2025-05-08T12:09:40Z,main,0,0
Forgejo,pennbauman,rust-typemap-ors.rpm,386964,2025-03-19T12:51:58Z,2025-05-08T12:09:32Z,main,0,0
Forgejo,pennbauman,rust-trycmd0.13.rpm,386924,2025-03-19T11:28:38Z,2025-05-08T12:09:31Z,main,0,0
Forgejo,mc36,freeRtr,187779,2024-02-08T17:54:07Z,2025-05-08T12:09:30Z,master,19,2
Forgejo,pennbauman,rust-trait-variant.rpm,386950,2025-03-19T12:28:37Z,2025-05-08T12:09:30Z,main,0,0
Forgejo,dedicated,pages,179668,2024-01-13T14:28:51Z,2025-05-08T12:09:29Z,codeberg-main,0,0
Forgejo,pennbauman,rust-toml_edit0.14.rpm,386898,2025-03-19T11:06:58Z,2025-05-08T12:09:16Z,main,0,0
Forgejo,pennbauman,rust-termwiz.rpm,388533,2025-03-21T11:06:49Z,2025-05-08T12:09:07Z,main,0,0
Forgejo,pennbauman,rust-terminfo0.8.rpm,387473,2025-03-20T05:57:56Z,2025-05-08T12:09:06Z,main,0,0
Forgejo,pennbauman,rust-sysinfo0.22.rpm,387462,2025-03-20T05:39:48Z,2025-05-08T12:09:01Z,main,0,0
Forgejo,pennbauman,rust-supports-hyperlinks2.rpm,387451,2025-03-20T05:23:42Z,2025-05-08T12:08:47Z,main,0,0
Forgejo,pennbauman,rust-suggest0.4.rpm,387459,2025-03-20T05:34:37Z,2025-05-08T12:08:44Z,main,0,0
