platform,owner,repo,id,created,updated,default_branch,#stars,#forks,size,license,main_language,language_distribution,#commits,#branches,#contributors,#issues,#pull_requests
Forgejo,msztolcman,versionner,409274,2025-04-04T06:43:12Z,2025-04-05T07:53:34Z,master,0,0,165980.0,MIT,Python,"{""Makefile"": {""size"": 651, ""percentage"": ""1.23""}, ""Python"": {""size"": 52442, ""percentage"": ""98.77""}}",295.0,5.0,3.0,0.0,0.0
Forgejo,linvirt,lv-emacs,383160,2025-03-14T12:17:14Z,2025-04-03T07:05:56Z,main,0,0,118165.0,GPL-3.0,Emacs Lisp,"{""Emacs Lisp"": {""size"": 24578, ""percentage"": ""100.00""}}",58.0,1.0,2.0,0.0,0.0
Forgejo,gnuhealth,his,199808,2024-03-18T14:33:17Z,2025-04-14T11:07:22Z,main,7,2,202002680.0,NOASSERTION,Python,"{""Shell"": {""size"": 45451, ""percentage"": ""3.03""}, ""Python"": {""size"": 1448965, ""percentage"": ""96.49""}, ""Roff"": {""size"": 1337, ""percentage"": ""0.09""}, ""Emacs Lisp"": {""size"": 5864, ""percentage"": ""0.39""}}",6365.0,7.0,161.0,96.0,13.0
Forgejo,Huitsi,PhantomOverload,20266,2021-06-01T15:01:54Z,2025-04-13T08:59:09Z,main,7,0,1038174.0,NOASSERTION,GDScript,"{""GDScript"": {""size"": 34799, ""percentage"": ""100.00""}}",91.0,2.0,1.0,0.0,0.0
Forgejo,zabaaaa,gamedb,389213,2025-03-22T10:49:56Z,2025-04-09T06:06:21Z,master,0,0,552565.0,,Python,"{""Python"": {""size"": 4072, ""percentage"": ""100.00""}}",10.0,1.0,4.0,0.0,0.0
Forgejo,Akilesh-VR,Fullstack-Akil,437636,2025-04-14T08:48:40Z,2025-04-14T08:48:40Z,main,0,0,24118.0,,,,,0.0,0.0,0.0,
Forgejo,zce,zce,285947,2024-11-30T13:28:42Z,2025-04-14T12:36:02Z,main,0,0,1498112.0,,,,65.0,1.0,1.0,0.0,0.0
Forgejo,b1nar10,LPIC-1,421274,2025-04-08T10:57:11Z,2025-04-08T11:16:15Z,main,0,0,27410.0,,,,1.0,1.0,1.0,0.0,0.0
Forgejo,rik,packages_resources_devicesettings,433814,2025-04-13T08:10:07Z,2025-04-13T08:11:07Z,Main,0,0,2750896.0,,,,115.0,1.0,20.0,0.0,0.0
Forgejo,piguycs,simp-protocol,111065,2023-05-07T20:13:53Z,2025-04-13T13:18:13Z,main,0,0,84377.0,MPL-2.0,Rust,"{""Rust"": {""size"": 4977, ""percentage"": ""100.00""}}",3.0,1.0,2.0,0.0,0.0
Forgejo,S7-1200-X,S7-1200-Arduino-Doorlock,423251,2025-04-09T04:42:48Z,2025-04-09T04:43:54Z,main,0,0,,,,,,,,0.0,0.0
Forgejo,linusg,zig-build-libregexp,151673,2023-10-08T18:56:20Z,2025-04-06T17:15:19Z,main,1,0,32435.0,MIT,Zig,"{""Zig"": {""size"": 1393, ""percentage"": ""100.00""}}",28.0,1.0,1.0,0.0,0.0
Forgejo,Ireozar,polytools,320820,2025-02-07T07:34:42Z,2025-04-14T12:04:23Z,main,1,0,4727563.0,MIT,Rust,"{""Rust"": {""size"": 86030, ""percentage"": ""95.90""}, ""Shell"": {""size"": 390, ""percentage"": ""0.43""}, ""CSS"": {""size"": 3291, ""percentage"": ""3.67""}}",156.0,1.0,1.0,7.0,0.0
Forgejo,allauth,django-allauth,255661,2024-09-07T19:59:38Z,2025-04-12T12:39:58Z,main,42,58,7853279.0,MIT,Python,"{""Emacs Lisp"": {""size"": 117, ""percentage"": ""0.01""}, ""Shell"": {""size"": 8, ""percentage"": ""0.00""}, ""Makefile"": {""size"": 2302, ""percentage"": ""0.13""}, ""Python"": {""size"": 1689190, ""percentage"": ""94.42""}, ""JavaScript"": {""size"": 15962, ""percentage"": ""0.89""}, ""HTML"": {""size"": 80110, ""percentage"": ""4.48""}, ""Nix"": {""size"": 1374, ""percentage"": ""0.08""}}",3710.0,20.0,763.0,4238.0,1702.0
Forgejo,seanfobbe,cd-icj,412946,2025-04-05T12:36:45Z,2025-04-09T15:53:21Z,main,0,0,420596.0,GPL-3.0,R,"{""R"": {""size"": 190027, ""percentage"": ""93.69""}, ""Dockerfile"": {""size"": 582, ""percentage"": ""0.29""}, ""Shell"": {""size"": 1556, ""percentage"": ""0.77""}, ""TeX"": {""size"": 10663, ""percentage"": ""5.26""}}",171.0,2.0,3.0,0.0,0.0
Forgejo,edwood-grant,sdl3-vapi,399249,2025-03-30T13:24:04Z,2025-04-12T02:04:45Z,main,0,0,13855026.0,NOASSERTION,Vala,"{""Meson"": {""size"": 1567, ""percentage"": ""0.38""}, ""Vala"": {""size"": 406942, ""percentage"": ""99.62""}}",65.0,1.0,2.0,4.0,0.0
Forgejo,DL9CAT,picofox,364487,2025-02-22T15:34:18Z,2025-04-10T15:17:32Z,main,0,0,229947.0,GPL-3.0,C++,"{""C"": {""size"": 19002, ""percentage"": ""19.78""}, ""C++"": {""size"": 77080, ""percentage"": ""80.22""}}",31.0,1.0,2.0,0.0,0.0
Forgejo,Jellyfish,linux-mirror,413672,2025-04-05T16:04:25Z,2025-04-06T09:19:35Z,master,0,0,1796194632.0,NOASSERTION,C,"{""Makefile"": {""size"": 2734946, ""percentage"": ""0.20""}, ""Roff"": {""size"": 203501, ""percentage"": ""0.01""}, ""Linker Script"": {""size"": 9830, ""percentage"": ""0.00""}, ""C"": {""size"": 1348363240, ""percentage"": ""98.27""}, ""Assembly"": {""size"": 9632676, ""percentage"": ""0.70""}, ""Shell"": {""size"": 5140958, ""percentage"": ""0.37""}, ""Perl"": {""size"": 1223890, ""percentage"": ""0.09""}, ""C++"": {""size"": 179456, ""percentage"": ""0.01""}, ""Awk"": {""size"": 71808, ""percentage"": ""0.01""}, ""sed"": {""size"": 2433, ""percentage"": ""0.00""}, ""Rust"": {""size"": 1035407, ""percentage"": ""0.08""}, ""Python"": {""size"": 3111393, ""percentage"": ""0.23""}, ""Yacc"": {""size"": 128635, ""percentage"": ""0.01""}, ""Lex"": {""size"": 72476, ""percentage"": ""0.01""}, ""UnrealScript"": {""size"": 16878, ""percentage"": ""0.00""}, ""SmPL"": {""size"": 166781, ""percentage"": ""0.01""}, ""Gherkin"": {""size"": 10932, ""percentage"": ""0.00""}, ""Jinja"": {""size"": 30138, ""percentage"": ""0.00""}, ""RPC"": {""size"": 962, ""percentage"": ""0.00""}, ""XS"": {""size"": 1239, ""percentage"": ""0.00""}, ""MATLAB"": {""size"": 2482, ""percentage"": ""0.00""}, ""Clojure"": {""size"": 2621, ""percentage"": ""0.00""}, ""M4"": {""size"": 3329, ""percentage"": ""0.00""}}",,,,0.0,0.0
Forgejo,lyrion-bastille,nextcloud,326972,2025-02-15T01:41:41Z,2025-04-13T03:41:47Z,master,0,0,37397.0,NOASSERTION,,,1.0,1.0,1.0,0.0,0.0
