platform,owner,repo,id,created,updated,default_branch,#stars,#forks,size,license,main_language,language_distribution,#commits,#branches,#contributors
Gitea,MiKueYu,SPT-LiveFleaPriceDB,67595,2024-09-12T20:12:14Z,2025-05-08T12:45:39Z,main,0,0,17765074,MIT,JavaScript,"{""JavaScript"": {""size"": 5111, ""percentage"": ""100.00""}}",2242.0,1,3
Gitea,nvmfst,firefox-stuff,95128,2025-03-26T12:56:16Z,2025-05-08T12:40:58Z,main,0,0,624932,,,,1435.0,1,2
Gitea,sciabc,scido,84295,2025-01-03T14:20:30Z,2025-05-08T12:40:17Z,main,0,0,4377206,,,,82.0,1,1
Gitea,projectInfinity-x,packages_apps_Launcher3,65138,2024-08-16T19:41:38Z,2025-05-08T12:25:39Z,QPR3,0,0,39565612,,Java,"{""Makefile"": {""size"": 3820, ""percentage"": ""0.04""}, ""Java"": {""size"": 9720843, ""percentage"": ""90.55""}, ""Kotlin"": {""size"": 1002660, ""percentage"": ""9.34""}, ""Python"": {""size"": 8182, ""percentage"": ""0.08""}}",1.0,4,1
Gitea,gitea,act_runner,35024,2022-11-24T08:46:09Z,2025-05-08T12:20:31Z,main,140,109,278904,MIT,Go,"{""Shell"": {""size"": 2665, ""percentage"": ""2.75""}, ""Dockerfile"": {""size"": 1222, ""percentage"": ""1.26""}, ""Makefile"": {""size"": 5707, ""percentage"": ""5.90""}, ""Go"": {""size"": 87175, ""percentage"": ""90.09""}}",311.0,2,56
Gitea,mc36,freeRtr,76436,2024-12-08T11:36:04Z,2025-05-08T12:09:19Z,master,1,3,37661729,,Scilab,"{""Shell"": {""size"": 76905, ""percentage"": ""0.26""}, ""Scilab"": {""size"": 14458363, ""percentage"": ""48.36""}, ""HTML"": {""size"": 1586077, ""percentage"": ""5.31""}, ""Java"": {""size"": 11876810, ""percentage"": ""39.73""}, ""Tcl"": {""size"": 92422, ""percentage"": ""0.31""}, ""Makefile"": {""size"": 3341, ""percentage"": ""0.01""}, ""Batchfile"": {""size"": 232, ""percentage"": ""0.00""}, ""Dockerfile"": {""size"": 941, ""percentage"": ""0.00""}, ""Rust"": {""size"": 37134, ""percentage"": ""0.12""}, ""CSS"": {""size"": 1327, ""percentage"": ""0.00""}, ""FreeBASIC"": {""size"": 448, ""percentage"": ""0.00""}, ""GLSL"": {""size"": 4092, ""percentage"": ""0.01""}, ""C"": {""size"": 664836, ""percentage"": ""2.22""}, ""Python"": {""size"": 587088, ""percentage"": ""1.96""}, ""P4"": {""size"": 502324, ""percentage"": ""1.68""}, ""Perl"": {""size"": 340, ""percentage"": ""0.00""}, ""PLSQL"": {""size"": 4037, ""percentage"": ""0.01""}}",23072.0,1,4
Gitea,gitea,gitea-mirror,56782,2024-05-10T03:04:42Z,2025-05-08T12:03:57Z,main,0,3,35799198,MIT,Go,"{""Shell"": {""size"": 46353, ""percentage"": ""0.30""}, ""JavaScript"": {""size"": 362222, ""percentage"": ""2.31""}, ""Makefile"": {""size"": 39289, ""percentage"": ""0.25""}, ""Dockerfile"": {""size"": 4530, ""percentage"": ""0.03""}, ""Go"": {""size"": 12780511, ""percentage"": ""81.55""}, ""Jsonnet"": {""size"": 15441, ""percentage"": ""0.10""}, ""Handlebars"": {""size"": 1286136, ""percentage"": ""8.21""}, ""Nix"": {""size"": 895, ""percentage"": ""0.01""}, ""Roff"": {""size"": 44055, ""percentage"": ""0.28""}, ""TypeScript"": {""size"": 524537, ""percentage"": ""3.35""}, ""CSS"": {""size"": 433296, ""percentage"": ""2.76""}, ""Less"": {""size"": 1872, ""percentage"": ""0.01""}, ""Vue"": {""size"": 132964, ""percentage"": ""0.85""}}",19449.0,18,1584
Gitea,gitea,docs,58755,2024-06-06T08:47:52Z,2025-05-08T12:02:14Z,main,7,71,22271739,Apache-2.0,JavaScript,"{""Makefile"": {""size"": 1280, ""percentage"": ""2.72""}, ""JavaScript"": {""size"": 30037, ""percentage"": ""63.85""}, ""Shell"": {""size"": 1127, ""percentage"": ""2.40""}, ""CSS"": {""size"": 14596, ""percentage"": ""31.03""}}",1859.0,3,457
Gitea,EdwardZwx,Dali_Project,72425,2024-11-14T12:52:58Z,2025-05-08T11:52:51Z,main,0,0,103803534,,JavaScript,"{""Python"": {""size"": 112757, ""percentage"": ""7.28""}, ""JavaScript"": {""size"": 1101934, ""percentage"": ""71.11""}, ""CSS"": {""size"": 58726, ""percentage"": ""3.79""}, ""SCSS"": {""size"": 1150, ""percentage"": ""0.07""}, ""HTML"": {""size"": 275024, ""percentage"": ""17.75""}}",8.0,2,1
Gitea,scorpp13,hypr-void,76229,2024-12-08T07:15:11Z,2025-05-08T11:44:03Z,main,0,0,588067213,,,,66.0,1,2
