platform,owner,repo,id,created,updated,default_branch,#stars,#forks,size,license,main_language,language_distribution,#commits,#branches,#contributors,#issues,#pull_requests
Gitea,bong05,mrpcServ,96267,2025-04-10T07:10:23Z,2025-04-10T07:19:10Z,main,0,0,329247.0,,Go,"{""Dockerfile"": {""size"": 479, ""percentage"": ""2.91""}, ""Makefile"": {""size"": 4294, ""percentage"": ""26.08""}, ""Go"": {""size"": 11694, ""percentage"": ""71.01""}}",3.0,1.0,1.0,0.0,0.0
Gitea,sergeybezlepkin,vpn-wireguard-webui,87635,2025-01-23T22:18:40Z,2025-04-01T23:28:59Z,main,1,0,3775704.0,MIT,Shell,"{""Shell"": {""size"": 173, ""percentage"": ""100.00""}}",24.0,1.0,1.0,0.0,0.0
Gitea,sreemanthena,argocd-repo,63080,2024-08-01T12:07:13Z,2024-08-01T12:07:13Z,main,0,0,24114.0,,,,,0.0,0.0,0.0,
Gitea,wangyue-coder,rja-eva-admin,61975,2024-07-22T03:24:15Z,2024-07-22T04:00:46Z,main,0,0,1435328.0,,JavaScript,"{""JavaScript"": {""size"": 186939, ""percentage"": ""49.41""}, ""HTML"": {""size"": 3490, ""percentage"": ""0.92""}, ""Vue"": {""size"": 179439, ""percentage"": ""47.42""}, ""Less"": {""size"": 8500, ""percentage"": ""2.25""}}",3.0,2.0,2.0,0.0,0.0
Gitea,near2die,dz1,82559,2024-12-25T18:59:32Z,2024-12-25T19:02:37Z,main,0,0,30464.0,,,,1.0,1.0,1.0,0.0,0.0
Gitea,poriansh,freelancer,87982,2025-01-27T09:55:39Z,2025-01-27T09:55:40Z,main,0,0,35641.0,,,,1.0,1.0,1.0,0.0,0.0
Gitea,REvil,Something,89194,2025-02-12T18:27:15Z,2025-02-12T18:27:15Z,main,0,0,24105.0,,,,,0.0,0.0,0.0,
Gitea,28rodrigo,TestCICD,91100,2025-03-05T19:41:38Z,2025-03-05T20:45:14Z,main,0,0,27742.0,,,,7.0,1.0,2.0,0.0,0.0
Gitea,kisel,sandbox-public,59715,2024-06-20T13:37:04Z,2024-06-20T13:37:04Z,main,0,0,,,,,,,,,
Gitea,jcorrales24,piscine-go,67329,2024-09-09T12:25:22Z,2024-09-09T12:25:22Z,main,0,0,24112.0,,,,,0.0,0.0,0.0,
Gitea,Naman-creator-coder,my_project,64414,2024-08-08T17:46:37Z,2024-08-08T17:46:38Z,main,0,0,26582.0,,,,1.0,1.0,1.0,0.0,0.0
Gitea,hasanalperen,devops,95220,2025-03-27T17:27:50Z,2025-03-27T17:27:50Z,main,0,0,24109.0,,,,,0.0,0.0,0.0,
Gitea,cnic2024,NAAS,60233,2024-06-28T07:21:39Z,2024-06-28T07:26:47Z,main,0,0,26428.0,,,,1.0,1.0,1.0,0.0,0.0
Gitea,JPJEFWTL,test,62082,2024-07-23T08:34:23Z,2024-07-23T08:34:23Z,main,0,0,24103.0,,,,,0.0,0.0,0.0,
Gitea,Gemoy28,Sompret,72827,2024-11-15T23:20:25Z,2024-11-19T12:27:54Z,main,0,0,,,,,,,,,
