platform,owner,repo,id,created,updated,default_branch,#stars,#forks,size,license,main_language,language_distribution,#commits,#branches,#contributors,#issues,#pull_requests
GitHub,devberg-3,Movie_Recommender,829943851,2024-07-17T09:51:42Z,2025-04-05T10:28:12Z,main,0,0,3554557,,Jupyter Notebook,"{""Python"": {""size"": 1723, ""percentage"": ""1.95""}, ""Jupyter Notebook"": {""size"": 86667, ""percentage"": ""98.05""}}",5,1,1,0,0
GitHub,Ejarla7777,FIrst_webPage,960796415,2025-04-05T04:51:30Z,2025-04-05T06:03:42Z,main,0,0,2141964,,HTML,"{""HTML"": {""size"": 9637, ""percentage"": ""73.18""}, ""JavaScript"": {""size"": 828, ""percentage"": ""6.29""}, ""CSS"": {""size"": 2704, ""percentage"": ""20.53""}}",6,1,1,0,0
GitHub,GiselaFux,FuxGisela,800231312,2024-05-14T00:17:05Z,2025-04-09T02:23:29Z,master,0,0,46446757,,HTML,"{""CSS"": {""size"": 37885, ""percentage"": ""42.39""}, ""HTML"": {""size"": 48810, ""percentage"": ""54.61""}, ""JavaScript"": {""size"": 2679, ""percentage"": ""3.00""}}",15,1,1,0,0
GitHub,TerminalMC,MoreMouseTweaks,882921637,2024-11-04T03:38:18Z,2025-04-09T03:12:31Z,mc1.21,0,2,442438,Apache-2.0,Java,"{""Java"": {""size"": 118985, ""percentage"": ""100.00""}}",46,3,2,2,2
GitHub,coder0107git,grain-js,767265206,2024-03-05T01:25:08Z,2025-04-09T00:16:19Z,main,0,0,77395529,MIT,JavaScript,"{""JavaScript"": {""size"": 14383, ""percentage"": ""100.00""}}",5,1,3,1,1
GitHub,LinuxBeaver,GEGL-GIMP-PLUGIN_Rock_Text,502489234,2022-06-12T01:01:56Z,2025-04-10T04:28:38Z,main,3,0,133996249,GPL-3.0,C,"{""Shell"": {""size"": 693, ""percentage"": ""1.62""}, ""C"": {""size"": 40166, ""percentage"": ""93.97""}, ""Meson"": {""size"": 1885, ""percentage"": ""4.41""}}",60,1,1,0,0
GitHub,Favoritesexactly,CEO-of-Google,963684994,2025-04-10T04:03:00Z,2025-04-10T04:04:21Z,main,0,0,1096456,,HTML,"{""HTML"": {""size"": 2112, ""percentage"": ""100.00""}}",4,2,3,0,1
GitHub,002kritika,FoodMateRestaurantManagementSystem,904773786,2024-12-17T14:23:54Z,2025-04-10T02:45:30Z,main,0,0,378556360,ISC,JavaScript,"{""JavaScript"": {""size"": 157315, ""percentage"": ""97.66""}, ""HTML"": {""size"": 2442, ""percentage"": ""1.52""}, ""CSS"": {""size"": 1330, ""percentage"": ""0.83""}}",5,1,1,0,0
GitHub,sekido88,Colyseus_Server,956408999,2025-03-28T07:55:07Z,2025-04-05T10:19:22Z,master,0,0,1475492,MIT,C#,"{""C#"": {""size"": 647716, ""percentage"": ""97.34""}, ""JavaScript"": {""size"": 6362, ""percentage"": ""0.96""}, ""TypeScript"": {""size"": 11366, ""percentage"": ""1.71""}}",448,1,33,0,0
GitHub,senate-wafer,alex-first-papers,962177908,2025-04-07T19:08:41Z,2025-04-09T02:06:08Z,main,0,0,39031031,MIT,HTML,"{""HTML"": {""size"": 146674, ""percentage"": ""75.02""}, ""Ruby"": {""size"": 442, ""percentage"": ""0.23""}, ""SCSS"": {""size"": 16183, ""percentage"": ""8.28""}, ""JavaScript"": {""size"": 12153, ""percentage"": ""6.22""}, ""CSS"": {""size"": 20074, ""percentage"": ""10.27""}}",19,1,1,0,0
