platform,owner,repo,id,created,updated,default_branch,#stars,#forks
GitLab,swiss-armed-forces/cyber-command/cea,loom,68343701,2025-03-25T10:46:27.367Z,2025-05-08T13:43:20.760Z,main,24,1.0
GitLab,graphviz,graphviz,4207231,2017-09-22T03:43:24.544Z,2025-05-08T13:43:16.019Z,main,1362,341.0
GitLab,oklinov,presentations,45311983,2023-04-19T14:12:51.092Z,2025-05-08T13:43:14.416Z,main,0,0.0
GitLab,gitlab-org,gitlab-runner,250833,2015-04-27T21:10:25.322Z,2025-05-08T13:43:04.810Z,main,2442,2400.0
GitLab,naturalis/bii/linnaeus,linnaeus_ng,20612206,2020-08-19T08:44:25.816Z,2025-05-08T13:43:02.863Z,develop,5,0.0
GitLab,gym-crm-app,training-service,68591187,2025-04-02T07:44:50.005Z,2025-05-08T13:43:01.307Z,develop,0,0.0
GitLab,fullfine909,screen-time-tracker,47295272,2023-06-30T10:12:03.590Z,2025-05-08T13:43:00.354Z,main,1,0.0
GitLab,gpaw,gpaw,875951,2016-02-16T13:26:25.308Z,2025-05-08T13:42:59.300Z,master,122,180.0
GitLab,philip8829,nvim-config,61418322,2024-09-04T21:55:44.851Z,2025-05-08T13:42:55.362Z,main,0,0.0
GitLab,qemu-project,qemu,11167699,2019-03-05T19:17:50.393Z,2025-05-08T13:42:53.838Z,master,810,536.0
GitLab,lianliss,pixel-front,56468899,2024-04-03T12:52:33.928Z,2025-05-08T13:42:50.038Z,master,0,0.0
GitLab,Taris9047,ACLGAD_GainSupp,66148674,2025-01-14T19:01:44.034Z,2025-05-08T13:42:48.209Z,main,0,0.0
GitLab,yellowhat-labs,mule,40025817,2022-10-07T05:57:58.642Z,2025-05-08T13:42:39.048Z,main,0,1.0
GitLab,josejulianrp,check_energy_at_home,68936474,2025-04-13T14:12:44.454Z,2025-05-08T13:42:31.283Z,main,0,0.0
GitLab,soleil-data-treatment/soleil-software-projects,chat-soleil,65381766,2024-12-13T15:13:13.315Z,2025-05-08T13:42:27.244Z,main,0,1.0
GitLab,bengisusaahin,ecommerce-app,69217332,2025-04-23T09:57:56.952Z,2025-05-08T13:42:26.302Z,main,0,0.0
GitLab,vidatec/appsmith/profesional,appsmith-institution,53093642,2023-12-15T12:49:30.192Z,2025-05-08T13:42:20.963Z,master,0,0.0
GitLab,bmim2212,verval25,68101005,2025-03-17T18:36:35.998Z,2025-05-08T13:42:09.112Z,main,0,0.0
GitLab,vl_garistov,vgaristov_phd,56499271,2024-04-04T10:24:09.329Z,2025-05-08T13:42:03.760Z,master,0,0.0
