platform,owner,repo,id,created,updated,default_branch,#stars,#forks
GitLab,cznic,libc,20471716,2020-08-11T16:51:45.490Z,2025-05-08T12:13:47.488Z,master,18,17.0
GitLab,task7153525,erp-api,67527600,2025-02-27T10:34:08.441Z,2025-05-08T12:13:46.530Z,main,0,0.0
GitLab,project-march/m10,march-x,61655885,2024-09-13T07:41:57.874Z,2025-05-08T12:13:43.940Z,main,4,0.0
GitLab,whatsdwon/microservises,systems-service,68810797,2025-04-09T09:20:11.230Z,2025-05-08T12:13:42.753Z,dev,0,0.0
GitLab,open-darts,darts-flash,43537207,2023-02-15T10:08:51.265Z,2025-05-08T12:13:40.863Z,development,2,4.0
GitLab,parruc,docker-django,24043615,2021-01-31T10:50:39.159Z,2025-05-08T12:13:36.953Z,master,1,0.0
GitLab,RalleKa,data_engineering,66318427,2025-01-20T17:14:05.674Z,2025-05-08T12:13:32.652Z,main,0,0.0
GitLab,iss-qa1,sample,59708434,2024-07-09T07:11:39.302Z,2025-05-08T12:13:28.605Z,main,0,0.0
GitLab,fdroid,fdroidserver,36527,2014-03-19T13:16:49.000Z,2025-05-08T12:13:26.677Z,master,416,478.0
GitLab,moi-sur-le-web,my-awesome-website,23849685,2021-01-22T10:48:33.017Z,2025-05-08T12:13:25.627Z,master,1,0.0
GitLab,jonas-burkhalter,irrigation-system-backend,69477383,2025-05-01T09:10:10.581Z,2025-05-08T12:13:12.415Z,main,0,0.0
GitLab,duelists-unite,omega_scripts,14297488,2019-09-13T18:46:31.491Z,2025-05-08T12:13:10.304Z,master,8,17.0
GitLab,gitlab-org/duo-workflow,duo-workflow-service,59366820,2024-06-28T03:04:30.060Z,2025-05-08T12:12:45.359Z,main,10,5.0
GitLab,futf-it,futf.se,67026926,2025-02-11T18:34:03.729Z,2025-05-08T12:12:42.609Z,dev,1,0.0
GitLab,hepcedar,yoda,15398980,2019-11-18T09:44:49.176Z,2025-05-08T12:12:38.593Z,release-2-1-x,11,29.0
GitLab,mbotana,projecte4_entrebicis,67984780,2025-03-13T12:33:04.672Z,2025-05-08T12:12:25.778Z,main,0,0.0
GitLab,bobblesdktech,bobbleimesdk,42690805,2023-01-18T09:59:57.355Z,2025-05-08T12:12:19.406Z,main,0,0.0
GitLab,ozonorei,subtitles,40472206,2022-10-24T11:10:52.304Z,2025-05-08T12:12:18.421Z,main,5,0.0
GitLab,ubports/development/core,hfd-service,25695562,2021-04-06T23:56:37.452Z,2025-05-08T12:12:11.181Z,main,0,6.0
GitLab,ecida/user-interface,ecida-python-sdk,44178776,2023-03-09T12:23:57.978Z,2025-05-08T12:12:08.947Z,main,0,1.0
GitLab,netmode,fusion,44429468,2023-03-18T12:44:57.333Z,2025-05-08T12:12:00.713Z,main,5,0.0
GitLab,tango-controls/web,taranta,8327917,2018-09-11T11:16:56.579Z,2025-05-08T12:11:59.979Z,develop,14,15.0
