platform,owner,repo,id,created,updated,default_branch,#stars,#forks,size,license,main_language,language_distribution,#commits,#branches,#contributors
GitLab,yasuyuki,mruby,17398913,2020-03-10T13:31:37.163Z,2025-05-08T08:59:49.016Z,build-by-make,0,0.0,3340328.0,MIT,C,"{""Makefile"": {""size"": 3237, ""percentage"": ""0.15""}, ""Ruby"": {""size"": 701581, ""percentage"": ""31.47""}, ""C"": {""size"": 1279944, ""percentage"": ""57.41""}, ""C++"": {""size"": 58371, ""percentage"": ""2.62""}, ""Shell"": {""size"": 778, ""percentage"": ""0.03""}, ""Batchfile"": {""size"": 927, ""percentage"": ""0.04""}, ""Yacc"": {""size"": 184815, ""percentage"": ""8.29""}}",11186.0,94.0,366.0
GitLab,uvz,AviSynthPlus-Plugins-Scripts1,54650739,2024-02-06T17:35:55.611Z,2025-05-08T13:17:27.776Z,main,3,1.0,461701058.0,,HLSL,"{""HLSL"": {""size"": 19421078, ""percentage"": ""97.21""}, ""HTML"": {""size"": 516939, ""percentage"": ""2.59""}, ""CSS"": {""size"": 3014, ""percentage"": ""0.02""}, ""Batchfile"": {""size"": 36995, ""percentage"": ""0.19""}}",135.0,1.0,3.0
GitLab,uniget-org,tools,62817001,2024-10-21T06:06:49.778Z,2025-05-08T09:55:20.430Z,main,0,2.0,3279843.0,MIT,Shell,"{""Dockerfile"": {""size"": 425, ""percentage"": ""0.40""}, ""Makefile"": {""size"": 34340, ""percentage"": ""32.25""}, ""Shell"": {""size"": 71725, ""percentage"": ""67.35""}}",17976.0,615.0,6.0
GitLab,fossht,abc,7438262,2018-07-11T01:02:36.801Z,2025-05-08T03:25:32.141Z,master,0,0.0,48591132.0,NOASSERTION,C,"{""CMake"": {""size"": 4800, ""percentage"": ""0.01""}, ""Makefile"": {""size"": 58425, ""percentage"": ""0.15""}, ""C"": {""size"": 36524515, ""percentage"": ""91.47""}, ""Shell"": {""size"": 235, ""percentage"": ""0.00""}, ""C++"": {""size"": 3213678, ""percentage"": ""8.05""}, ""HTML"": {""size"": 127521, ""percentage"": ""0.32""}, ""Perl"": {""size"": 1184, ""percentage"": ""0.00""}}",5808.0,2.0,75.0
GitLab,rluna-database/nosql/arangodb,arangodb-2020,21933315,2020-10-21T16:46:01.556Z,2025-05-08T13:03:37.448Z,devel,0,3.0,923116430.0,NOASSERTION,C++,"{""Python"": {""size"": 325271, ""percentage"": ""0.43""}, ""Shell"": {""size"": 125524, ""percentage"": ""0.17""}, ""CMake"": {""size"": 321649, ""percentage"": ""0.43""}, ""C++"": {""size"": 37926567, ""percentage"": ""50.55""}, ""C"": {""size"": 244570, ""percentage"": ""0.33""}, ""Yacc"": {""size"": 100222, ""percentage"": ""0.13""}, ""LLVM"": {""size"": 15994, ""percentage"": ""0.02""}, ""GDB"": {""size"": 224, ""percentage"": ""0.00""}, ""JavaScript"": {""size"": 33913016, ""percentage"": ""45.20""}, ""CSS"": {""size"": 196676, ""percentage"": ""0.26""}, ""HTML"": {""size"": 11585, ""percentage"": ""0.02""}, ""EJS"": {""size"": 138767, ""percentage"": ""0.18""}, ""SCSS"": {""size"": 245958, ""percentage"": ""0.33""}, ""TypeScript"": {""size"": 729111, ""percentage"": ""0.97""}, ""PowerShell"": {""size"": 4049, ""percentage"": ""0.01""}, ""Linker Script"": {""size"": 113, ""percentage"": ""0.00""}, ""Makefile"": {""size"": 551, ""percentage"": ""0.00""}, ""Max"": {""size"": 437, ""percentage"": ""0.00""}, ""Dockerfile"": {""size"": 6053, ""percentage"": ""0.01""}, ""Batchfile"": {""size"": 109, ""percentage"": ""0.00""}, ""NASL"": {""size"": 717702, ""percentage"": ""0.96""}}",51897.0,8828.0,216.0
GitLab,alhayekhamza,erp-system,66625613,2025-01-29T12:40:14.754Z,2025-05-08T12:39:15.916Z,main,0,0.0,149320489.0,MIT,JavaScript,"{""PHP"": {""size"": 204284, ""percentage"": ""3.14""}, ""JavaScript"": {""size"": 3094799, ""percentage"": ""47.51""}, ""CSS"": {""size"": 2559445, ""percentage"": ""39.29""}, ""Hack"": {""size"": 18216, ""percentage"": ""0.28""}, ""HTML"": {""size"": 209695, ""percentage"": ""3.22""}, ""Blade"": {""size"": 427314, ""percentage"": ""6.56""}}",40.0,1.0,3.0
GitLab,mehulagg,jetbrains-android,18323567,2020-04-23T11:09:22.122Z,2025-05-08T09:39:43.591Z,master,0,1.0,739120784.0,Apache-2.0,Kotlin,"{""Starlark"": {""size"": 812034, ""percentage"": ""0.79""}, ""Kotlin"": {""size"": 55984763, ""percentage"": ""54.66""}, ""Java"": {""size"": 43318614, ""percentage"": ""42.29""}, ""JavaScript"": {""size"": 18437, ""percentage"": ""0.02""}, ""HTML"": {""size"": 1218770, ""percentage"": ""1.19""}, ""Lex"": {""size"": 71514, ""percentage"": ""0.07""}, ""Shell"": {""size"": 34217, ""percentage"": ""0.03""}, ""AIDL"": {""size"": 35967, ""percentage"": ""0.04""}, ""IDL"": {""size"": 42, ""percentage"": ""0.00""}, ""RenderScript"": {""size"": 4411, ""percentage"": ""0.00""}, ""Clean"": {""size"": 25681, ""percentage"": ""0.03""}, ""C++"": {""size"": 539051, ""percentage"": ""0.53""}, ""CMake"": {""size"": 27176, ""percentage"": ""0.03""}, ""C"": {""size"": 76776, ""percentage"": ""0.07""}, ""Python"": {""size"": 196071, ""percentage"": ""0.19""}, ""Makefile"": {""size"": 2495, ""percentage"": ""0.00""}, ""Smali"": {""size"": 7580, ""percentage"": ""0.01""}, ""NSIS"": {""size"": 51066, ""percentage"": ""0.05""}, ""Batchfile"": {""size"": 7357, ""percentage"": ""0.01""}}",208848.0,864.0,862.0
GitLab,LukeManson,lazy_nvim,53623267,2024-01-07T09:43:10.830Z,2025-05-08T09:01:04.879Z,master,0,0.0,65621.0,Apache-2.0,Lua,"{""Shell"": {""size"": 588, ""percentage"": ""7.05""}, ""Lua"": {""size"": 7757, ""percentage"": ""92.95""}}",16.0,2.0,2.0
GitLab,inverse-inc,packetfence,11022413,2019-02-25T15:27:09.570Z,2025-05-08T02:38:21.115Z,devel,3,2.0,189456770.0,GPL-2.0,Perl,"{""Makefile"": {""size"": 62500, ""percentage"": ""0.33""}, ""Perl"": {""size"": 11830495, ""percentage"": ""62.88""}, ""PowerShell"": {""size"": 9974, ""percentage"": ""0.05""}, ""Shell"": {""size"": 352274, ""percentage"": ""1.87""}, ""Python"": {""size"": 142347, ""percentage"": ""0.76""}, ""PHP"": {""size"": 1363, ""percentage"": ""0.01""}, ""NSIS"": {""size"": 4895, ""percentage"": ""0.03""}, ""C++"": {""size"": 39448, ""percentage"": ""0.21""}, ""C"": {""size"": 57149, ""percentage"": ""0.30""}, ""Jinja"": {""size"": 2315, ""percentage"": ""0.01""}, ""HCL"": {""size"": 6514, ""percentage"": ""0.03""}, ""Dockerfile"": {""size"": 23012, ""percentage"": ""0.12""}, ""Go"": {""size"": 1548689, ""percentage"": ""8.23""}, ""JavaScript"": {""size"": 1858152, ""percentage"": ""9.88""}, ""HTML"": {""size"": 411001, ""percentage"": ""2.18""}, ""SCSS"": {""size"": 61668, ""percentage"": ""0.33""}, ""Vue"": {""size"": 2349379, ""percentage"": ""12.49""}, ""CSS"": {""size"": 33490, ""percentage"": ""0.18""}, ""BitBake"": {""size"": 614, ""percentage"": ""0.00""}, ""PLpgSQL"": {""size"": 18840, ""percentage"": ""0.10""}, ""GDB"": {""size"": 52, ""percentage"": ""0.00""}}",46928.0,1749.0,129.0
GitLab,appsemble,charts,26534858,2021-05-10T10:14:07.026Z,2025-05-08T08:46:22.737Z,main,1,0.0,36803598.0,LGPL-3.0,HTML,"{""CSS"": {""size"": 379, ""percentage"": ""34.74""}, ""HTML"": {""size"": 712, ""percentage"": ""65.26""}}",252.0,1.0,4.0
GitLab,antogrig,aura,68893881,2025-04-11T11:47:45.690Z,2025-05-08T12:35:54.557Z,main,0,0.0,1629346070.0,NOASSERTION,C++,"{""C#"": {""size"": 1514, ""percentage"": ""1.55""}, ""C++"": {""size"": 95946, ""percentage"": ""98.28""}, ""C"": {""size"": 166, ""percentage"": ""0.17""}}",111.0,1.0,2.0
GitLab,lino-framework,xl,25842150,2021-04-12T22:45:06.567Z,2025-05-08T07:05:09.846Z,master,1,1.0,21682710.0,AGPL-3.0,Python,"{""Python"": {""size"": 2775906, ""percentage"": ""45.78""}, ""HTML"": {""size"": 1428024, ""percentage"": ""23.55""}, ""JavaScript"": {""size"": 1632823, ""percentage"": ""26.93""}, ""CSS"": {""size"": 186625, ""percentage"": ""3.08""}, ""PHP"": {""size"": 40437, ""percentage"": ""0.67""}}",3156.0,2.0,10.0
