Platform,Name,Stars,Forks,Open Issues,Created At,Updated At,Size,Language
GitHub,hi-survey-comparison,0,0,0,2018-06-21T21:13:00Z,2018-06-21T21:23:47Z,1,
GitHub,Toad_-3-Blooket,0,0,0,2024-06-13T12:42:00Z,2024-06-13T12:42:00Z,68,
GitHub,salt-test-vagrant,2,2,0,2013-06-25T07:09:12Z,2024-11-28T16:27:25Z,104,Ruby
GitHub,hw-header-page,0,0,0,2022-10-18T17:13:00Z,2022-10-18T17:13:00Z,1,
GitHub,Hacktoberfest2019,0,0,0,2021-10-04T19:14:29Z,2021-10-04T19:14:30Z,10535,
GitHub,DeathSwapUnlimited,0,0,0,2019-12-16T22:08:20Z,2022-03-13T02:56:49Z,39,Java
GitHub,collectd-rabbitmq,0,0,0,2015-03-16T14:15:23Z,2015-03-16T14:39:26Z,106,Python
GitHub,chessboard,0,0,0,2023-06-28T03:45:27Z,2023-06-28T03:46:35Z,1,HTML
GitHub,projet-pooig,0,0,0,2020-11-27T02:59:34Z,2021-01-06T10:24:54Z,896,Java
GitHub,Unidad-2-Ejercicio-4,0,0,0,2022-04-27T00:38:25Z,2022-04-27T00:39:16Z,1,Python
GitHub,old-huron-archive,0,0,0,2018-12-21T20:32:23Z,2021-12-24T18:54:58Z,1540,CSS
GitHub,template-girish,0,0,0,2019-11-30T02:30:11Z,2019-11-30T02:30:59Z,35098,HTML
GitHub,bank-assistant-bot,2,3,0,2023-08-25T20:29:29Z,2024-01-03T19:34:11Z,328,Python
GitHub,T11D17,0,0,0,2022-02-24T12:27:00Z,2023-06-02T21:52:57Z,283,C
GitHub,adventofcode.ex,0,0,0,2017-08-04T15:21:53Z,2019-01-13T20:13:19Z,38,Elixir
GitHub,Front-end-Developer-Interview-Questions,0,0,0,2015-03-18T09:10:51Z,2015-03-18T07:41:50Z,740,
GitHub,phase-4-rails-create-read-lab,0,0,0,2023-03-15T02:22:00Z,2023-03-15T03:14:04Z,6543,Ruby
GitHub,gdmd,0,0,0,2023-11-29T14:14:26Z,2023-11-29T14:14:27Z,43,
GitHub,portfolio,0,0,0,2023-07-01T08:24:37Z,2023-07-01T08:30:05Z,107,CSS
GitHub,martini,0,0,0,2015-03-17T15:46:53Z,2015-03-17T15:46:53Z,2092,Go
GitHub,number_paginator,0,0,0,2023-07-17T12:30:45Z,2023-07-17T12:30:45Z,160,
GitHub,lil-ui,28,0,0,2022-05-24T19:32:56Z,2024-12-20T08:25:50Z,2059,JavaScript
GitHub,gitignore,0,0,0,2015-03-26T22:54:20Z,2015-01-09T18:38:03Z,7566,
GitHub,goit-markup-hw-05,0,0,0,2023-05-30T11:29:49Z,2023-06-05T19:27:34Z,295,HTML
GitHub,resume,0,0,0,2019-06-23T05:21:12Z,2019-06-23T06:39:49Z,242,JavaScript
GitHub,Employee-MVC,0,0,0,2023-01-30T07:56:11Z,2023-01-30T07:59:38Z,24,Java
GitHub,bootkit,0,0,0,2023-01-19T21:28:04Z,2023-01-20T22:22:51Z,2912,Go
GitHub,vyos.vyos,0,0,0,2023-08-07T22:03:14Z,2024-07-02T14:37:31Z,1771,
GitHub,ZRE,0,0,0,2023-04-22T18:06:50Z,2023-08-07T20:44:22Z,2848,Jupyter Notebook
GitHub,ModProject,0,0,0,2024-02-06T21:28:31Z,2024-02-06T21:28:35Z,72,Java
GitHub,GPTCodeQualitySharp,3,1,0,2023-06-02T21:05:50Z,2023-07-25T15:38:15Z,68,C#
GitHub,shimmer-android,0,0,0,2020-06-16T08:47:16Z,2020-06-16T08:47:18Z,4764,
GitHub,AppSpacesPython,0,0,0,2023-05-31T11:41:10Z,2023-05-31T11:41:19Z,692,Bicep
GitHub,phase-4-rails-route-params-lab,0,0,0,2023-03-13T20:06:42Z,2023-03-13T20:19:35Z,23,Ruby
GitHub,PokeWikia,0,0,0,2023-11-27T13:06:20Z,2023-11-27T13:09:45Z,15605,HTML
GitHub,source-learn,0,0,4,2021-01-26T05:24:13Z,2021-02-02T09:53:27Z,340,JavaScript
