platform,owner,repo,id,created,updated,default_branch,#stars,#forks,size,license,main_language,language_distribution,#commits,#branches,#contributors,#issues,#pull_requests
Gitea,vilksons,triops,94824,2025-03-21T22:10:52Z,2025-03-22T18:51:01Z,main,0,0,177362.0,,Shell,"{""Shell"": {""size"": 97794, ""percentage"": ""98.47""}, ""Python"": {""size"": 1523, ""percentage"": ""1.53""}}",46.0,1.0,1.0,0.0,0.0
Gitea,mc36,freeRtr,76436,2024-12-08T11:36:04Z,2025-03-22T18:46:02Z,master,1,2,37570865.0,,Scilab,"{""Shell"": {""size"": 76647, ""percentage"": ""0.26""}, ""Scilab"": {""size"": 14458363, ""percentage"": ""48.49""}, ""HTML"": {""size"": 1586086, ""percentage"": ""5.32""}, ""Java"": {""size"": 11814026, ""percentage"": ""39.62""}, ""Tcl"": {""size"": 92422, ""percentage"": ""0.31""}, ""Makefile"": {""size"": 3341, ""percentage"": ""0.01""}, ""Batchfile"": {""size"": 232, ""percentage"": ""0.00""}, ""Dockerfile"": {""size"": 941, ""percentage"": ""0.00""}, ""Rust"": {""size"": 37134, ""percentage"": ""0.12""}, ""CSS"": {""size"": 1327, ""percentage"": ""0.00""}, ""FreeBASIC"": {""size"": 448, ""percentage"": ""0.00""}, ""GLSL"": {""size"": 4092, ""percentage"": ""0.01""}, ""C"": {""size"": 647639, ""percentage"": ""2.17""}, ""Python"": {""size"": 587088, ""percentage"": ""1.97""}, ""P4"": {""size"": 502324, ""percentage"": ""1.68""}, ""Perl"": {""size"": 340, ""percentage"": ""0.00""}, ""PLSQL"": {""size"": 4037, ""percentage"": ""0.01""}}",22295.0,1.0,3.0,0.0,0.0
Gitea,scorpp13,openbox,84263,2025-01-03T09:01:46Z,2025-03-22T18:45:43Z,main,0,0,930297206.0,,,,76.0,1.0,1.0,0.0,0.0
Gitea,MiKueYu,SPT-LiveFleaPriceDB,67595,2024-09-12T20:12:14Z,2025-03-22T18:26:17Z,main,0,0,17767739.0,MIT,JavaScript,"{""JavaScript"": {""size"": 5111, ""percentage"": ""100.00""}}",1667.0,1.0,3.0,0.0,0.0
Gitea,javadev,underscore-java,53701,2024-03-31T07:21:14Z,2025-03-22T18:22:58Z,main,0,0,1483541.0,MIT,Java,"{""Java"": {""size"": 894160, ""percentage"": ""94.32""}, ""JavaScript"": {""size"": 53889, ""percentage"": ""5.68""}}",1469.0,1.0,15.0,0.0,0.0
Gitea,baljeetgreece,configs,91269,2025-03-08T10:25:48Z,2025-03-22T18:09:33Z,main,0,0,86437.0,,Lua,"{""Shell"": {""size"": 1853, ""percentage"": ""22.91""}, ""Lua"": {""size"": 6236, ""percentage"": ""77.09""}}",30.0,1.0,2.0,0.0,0.0
Gitea,julienzigan,MyUtils,94635,2025-03-19T16:43:27Z,2025-03-22T17:37:53Z,main,1,0,45183.0,,C,"{""C"": {""size"": 13597, ""percentage"": ""98.19""}, ""Makefile"": {""size"": 250, ""percentage"": ""1.81""}}",11.0,2.0,2.0,0.0,0.0
Gitea,AuberyLis,alice,91008,2025-03-04T15:17:56Z,2025-03-22T16:56:07Z,main,1,0,762363.0,GPL-3.0,JavaScript,"{""JavaScript"": {""size"": 195945, ""percentage"": ""87.48""}, ""HTML"": {""size"": 17334, ""percentage"": ""7.74""}, ""CSS"": {""size"": 10720, ""percentage"": ""4.79""}}",136.0,2.0,4.0,2.0,2.0
Gitea,EqYBScnmy1Y2g6Synh,moe-provements,94237,2025-03-14T11:06:19Z,2025-03-22T16:06:58Z,master,0,0,142228.0,,JavaScript,"{""JavaScript"": {""size"": 87517, ""percentage"": ""100.00""}}",6.0,1.0,1.0,0.0,0.0
Gitea,gentle,ppcat,24778,2022-06-26T13:17:57Z,2025-03-22T16:05:33Z,master,0,4,924125.0,,,,2261.0,1.0,1.0,,
