platform,owner,repo,id,created,updated,default_branch,#stars,#forks,size,license,main_language,language_distribution,#commits,#branches,#contributors,#issues,#pull_requests
GitHub,Epannjj,Digikidz,883092658,2024-11-04T11:11:31Z,2025-03-22T11:17:10Z,master,0,0,6614479,,PHP,"{""PHP"": {""size"": 373286, ""percentage"": ""98.64""}, ""Hack"": {""size"": 204, ""percentage"": ""0.05""}, ""JavaScript"": {""size"": 813, ""percentage"": ""0.21""}, ""HTML"": {""size"": 428, ""percentage"": ""0.11""}, ""Batchfile"": {""size"": 21, ""percentage"": ""0.01""}, ""Shell"": {""size"": 25, ""percentage"": ""0.01""}, ""CSS"": {""size"": 3647, ""percentage"": ""0.96""}}",40,1,2,0,0
GitHub,3zpnix,WriteOn,850596389,2024-09-01T08:30:10Z,2025-03-22T11:17:02Z,master,55,2,11795315,Apache-2.0,Kotlin,"{""Kotlin"": {""size"": 294780, ""percentage"": ""100.00""}}",632,10,32,12,18
GitHub,HTTPArchive,almanac.httparchive.org,187903742,2019-05-21T19:50:09Z,2025-03-22T11:16:58Z,main,638,187,449108490,Apache-2.0,HTML,"{""Python"": {""size"": 78379, ""percentage"": ""2.82""}, ""JavaScript"": {""size"": 149939, ""percentage"": ""5.39""}, ""Shell"": {""size"": 26691, ""percentage"": ""0.96""}, ""Jupyter Notebook"": {""size"": 11875, ""percentage"": ""0.43""}, ""Dockerfile"": {""size"": 1053, ""percentage"": ""0.04""}, ""CSS"": {""size"": 76730, ""percentage"": ""2.76""}, ""HTML"": {""size"": 2433479, ""percentage"": ""87.53""}, ""Batchfile"": {""size"": 2080, ""percentage"": ""0.07""}}",3264,3,227,692,3338
GitHub,Hepsi2002,Learn-Data-Structures-and-Complexity-with-Python,947197154,2025-03-12T10:00:45Z,2025-03-22T11:16:53Z,main,0,0,69510,,Python,"{""Python"": {""size"": 28074, ""percentage"": ""100.00""}}",38,1,1,0,0
GitHub,Nicols812,blackBeeID,908190448,2024-12-25T11:51:52Z,2025-03-22T11:16:49Z,main,0,0,2363434,,Python,"{""Python"": {""size"": 95869, ""percentage"": ""100.00""}}",37,1,1,0,0
GitHub,LottieJudge,LottieJudge,948657441,2025-03-14T18:09:16Z,2025-03-22T11:16:44Z,init,0,0,2557993,,TypeScript,"{""JavaScript"": {""size"": 1184, ""percentage"": ""21.11""}, ""HTML"": {""size"": 366, ""percentage"": ""6.53""}, ""TypeScript"": {""size"": 3811, ""percentage"": ""67.96""}, ""CSS"": {""size"": 247, ""percentage"": ""4.40""}}",6,3,2,0,2
GitHub,TayyipAltan,imbalanced_synth,940740527,2025-02-28T17:50:40Z,2025-03-22T11:16:23Z,main,0,0,125457,,Jupyter Notebook,"{""Python"": {""size"": 4591, ""percentage"": ""5.57""}, ""Jupyter Notebook"": {""size"": 77904, ""percentage"": ""94.43""}}",20,1,2,0,0
GitHub,mohammadkh24,Shop,951846311,2025-03-20T10:35:42Z,2025-03-22T11:16:15Z,master,0,0,1120925,ISC,JavaScript,"{""JavaScript"": {""size"": 26121, ""percentage"": ""100.00""}}",6,1,1,0,0
GitHub,GHendry39,AWS-Projects,922724170,2025-01-26T23:26:56Z,2025-03-22T11:16:13Z,main,0,0,1431031,,HTML,"{""CSS"": {""size"": 25167, ""percentage"": ""49.55""}, ""HTML"": {""size"": 25626, ""percentage"": ""50.45""}}",40,1,3,0,0
GitHub,HarshitAranya,devops,897751651,2024-12-03T07:11:55Z,2025-03-22T11:16:11Z,myCodes,0,0,11099501,,HTML,"{""Shell"": {""size"": 2404, ""percentage"": ""1.47""}, ""Dockerfile"": {""size"": 5500, ""percentage"": ""3.36""}, ""HTML"": {""size"": 102232, ""percentage"": ""62.52""}, ""Smarty"": {""size"": 1772, ""percentage"": ""1.08""}, ""Jinja"": {""size"": 55, ""percentage"": ""0.03""}, ""HCL"": {""size"": 23094, ""percentage"": ""14.12""}, ""JavaScript"": {""size"": 3603, ""percentage"": ""2.20""}, ""TypeScript"": {""size"": 19035, ""percentage"": ""11.64""}, ""CSS"": {""size"": 5812, ""percentage"": ""3.55""}}",105,1,2,0,0
GitHub,Lewisk3,MechDoomer-Rebooted,532843648,2022-09-05T10:05:19Z,2025-03-22T11:15:58Z,main,3,0,180252164,,C#,"{""GLSL"": {""size"": 9045, ""percentage"": ""1.24""}, ""C"": {""size"": 1262, ""percentage"": ""0.17""}, ""C#"": {""size"": 719651, ""percentage"": ""98.59""}}",157,1,1,1,0
GitHub,yelnikov-andrii,back,668741375,2023-07-20T13:43:10Z,2025-03-22T11:15:58Z,master,0,0,423668374,ISC,JavaScript,"{""JavaScript"": {""size"": 13539, ""percentage"": ""100.00""}}",15,1,2,0,0
GitHub,scottrycroft,victoria-permits,651765295,2023-06-10T03:09:01Z,2025-03-22T11:15:56Z,master,0,0,10340331,,Vue,"{""JavaScript"": {""size"": 363, ""percentage"": ""0.91""}, ""HTML"": {""size"": 351, ""percentage"": ""0.88""}, ""Vue"": {""size"": 33588, ""percentage"": ""83.79""}, ""CSS"": {""size"": 2777, ""percentage"": ""6.93""}, ""TypeScript"": {""size"": 3008, ""percentage"": ""7.50""}}",759,1,2,0,0
GitHub,Lekvar4,Sparkle-foundation,952698783,2025-03-21T18:11:50Z,2025-03-22T11:15:56Z,main,0,0,165294,,HTML,"{""HTML"": {""size"": 100403, ""percentage"": ""85.01""}, ""JavaScript"": {""size"": 2847, ""percentage"": ""2.41""}, ""CSS"": {""size"": 14855, ""percentage"": ""12.58""}}",5,1,1,0,0
GitHub,mdtipusultan,PrayerTime,852186807,2024-09-04T11:30:20Z,2025-03-22T11:15:36Z,master,0,0,9908720,,Swift,"{""Swift"": {""size"": 23815, ""percentage"": ""100.00""}}",18,1,2,0,0
GitHub,RabidRabbit2019,GNSS_Watch,628725261,2023-04-16T20:28:10Z,2025-03-22T11:15:29Z,main,0,0,1099231,Unlicense,C,"{""Linker Script"": {""size"": 3418, ""percentage"": ""0.40""}, ""Makefile"": {""size"": 8777, ""percentage"": ""1.03""}, ""C"": {""size"": 833120, ""percentage"": ""97.96""}, ""Assembly"": {""size"": 5179, ""percentage"": ""0.61""}}",29,1,2,0,0
GitHub,janwyoo,jan_is_fork,668775372,2023-07-20T15:03:49Z,2025-03-22T11:15:26Z,main,0,0,34112,MIT,,,1843,1,2,0,0
GitHub,bhavishygurjareduspark,Eduspark,942614973,2025-03-04T11:41:07Z,2025-03-22T11:15:23Z,main,0,0,290440,,HTML,"{""HTML"": {""size"": 229773, ""percentage"": ""99.38""}, ""JavaScript"": {""size"": 1436, ""percentage"": ""0.62""}}",64,1,1,0,0
GitHub,ALFREDANALYST,PROJECTS,764600714,2024-02-28T11:26:52Z,2025-03-22T11:15:19Z,main,0,0,5119272,,,,20,1,2,0,0
GitHub,misbahiradat,EyeCare-Driver-Fatigue-Detection,712477101,2023-10-31T14:46:02Z,2025-03-22T11:15:07Z,master,1,0,1611742143,MIT,Jupyter Notebook,"{""Python"": {""size"": 47961, ""percentage"": ""0.70""}, ""PureBasic"": {""size"": 676350, ""percentage"": ""9.91""}, ""Jupyter Notebook"": {""size"": 6099230, ""percentage"": ""89.39""}}",775,2,2,0,0
